time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
2019-08-15 15:45:18.227006, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 1, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.7613764890431187, -17.12536080761329, 1799, 32.32637224352828, 0.9951589333872622, 1.694227147255598, 0.0584473289524848, 2.3105185609700247, 2.123123624456242, 1.2111987281279961
2019-08-15 15:49:38.497693, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 2, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 3.1641731039757715, -17.5766812700589, 2410, 32.60052133269415, 0.9911294766628105, 1.6916085142031962, 0.1073374910331521, 2.1060078869811156, 2.271229721948649, 1.2200949971536434
2019-08-15 15:54:35.728777, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 3, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.6982153185149933, -16.856732505328814, 1851, 32.434234180249284, 1.0066720967151495, 1.6933780786335173, 0.09431952615960539, 2.104518891588032, 2.3151456145782876, 1.8059800642677373
2019-08-15 16:00:02.910168, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 4, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.83961244248854, -16.76524465373538, 2151, 32.29266538830297, 1.0059939807584835, 1.69376669067449, 0.12014933529605248, 2.1540535342507297, 2.4775056427582607, 1.1294287062559922
2019-08-15 16:06:10.175906, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 5, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.6691868331606172, -16.425709986038452, 1857, 32.26719798657718, 1.0011369219439286, 1.6929041908653413, 0.0739446229062552, 2.1120549383718297, 2.553266374755918, 1.1941177792425695
2019-08-15 16:12:47.289251, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 6, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.584224773043605, -17.023083561484906, 2015, 32.26944511025887, 1.0006970216576105, 1.6949183471970937, 0.09151755544539115, 2.171900858660333, 2.5802091284668784, 1.1621182698645733
2019-08-15 16:20:06.184525, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 7, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 3.0934441230260075, -16.682384289256177, 2051, 32.46269774688399, 0.9987798760257617, 1.6943982494095609, 0.07976307621489041, 1.9557892138988024, 2.4788271649296543, 1.3649694016658678
2019-08-15 16:27:19.810943, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 8, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.698421456905512, -17.121628477739137, 1697, 32.548088446788114, 0.9910814794950731, 1.693343063314403, 0.07413170450443397, 2.207402915899758, 2.3019923211178135, 1.3481464038530682
2019-08-15 16:35:08.221474, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 9, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.952962356653612, -16.387935997036493, 1936, 32.354086768935765, 0.9984316049423362, 1.693853421490676, 0.06686533039977063, 2.0578547357845838, 2.3303995224998664, 1.5655907313638542
2019-08-15 16:43:04.335777, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 10, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.649654913072121, -15.921780797707727, 2168, 32.32112895493768, 0.9961234614733443, 1.6945838849677428, 0.07349897971288782, 40.27968313286026, 2.4172898790250223, 1.2608756104686
