time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error,
2019-05-14 13:41:23.814388,128,0.8,24,32,9,1,0.01,0.001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6240624962,739324.662818455,30.46875,1.0523530257,1.8049511019,2097.2570765029,434899.089182284,436121.365689083,1.736328125,
2019-05-14 13:44:27.783140,128,0.8,24,32,9,1,0.1,0.001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.9079577653,27211.5750564371,30.859375,1.1152883632,1.6668501027,55.6033702174,15280.2249059407,14956.5624211411,2.1794433594,
2019-05-14 13:48:53.288880,128,0.8,24,32,9,1,1,0.001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,3.1089962737,613.9494446762,32.421875,0.9479996834,1.6760693249,0.6597626783,341.6800626042,342.934458419,2.6115722656,
2019-05-14 13:53:34.651655,128,0.8,24,32,9,1,1,0.01,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.7376085724,357.2348853396,33.203125,0.9263935445,1.7040789924,0.3110304057,191.7378725534,190.3329245702,0.9226074219,
2019-05-14 13:57:38.062500,128,0.8,24,32,9,1,0.1,0.01,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6090651367,8587.1198881938,32.8125,0.9378621603,1.6821512289,4.2927805129,4987.2896074374,4581.2721442119,2.5278320313,
2019-05-14 14:01:31.843940,128,0.8,24,32,9,1,0.01,0.01,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.916628989,63457.9353215807,35.15625,1.1115454569,1.651729466,178.4459143179,39022.2195038225,40060.3741840948,2.0107421875,
2019-05-14 14:05:54.034178,128,0.8,24,32,9,1,0.01,0.1,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6530226416,1146.6555010599,25.78125,1.2431777753,1.747211183,2.8541175589,648.473026423,668.3014884036,1.9792480469,
2019-05-14 14:09:14.547982,128,0.8,24,32,9,1,0.1,0.1,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.9198104144,1527.8275102078,26.171875,0.9845967319,1.7427285819,2.2025769117,908.0766556703,880.8776402264,1.1440429688,
2019-05-14 14:12:47.244440,128,0.8,24,32,9,1,0.01,0.1,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6832538362,1214.2312266343,35.9375,0.9570341776,1.6463398761,0.4973594054,643.2740106599,681.8840005375,1.6323242188,
2019-05-14 14:16:34.538173,128,0.8,24,32,9,1,1,0.1,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.8586692612,169.4500412455,25.78125,0.847169306,1.7656417415,0.4266896525,88.2630243978,81.6326182425,1.0031738281,
2019-05-14 15:09:38.845433,128,0.8,24,32,9,1,0.02,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.9635228604,1534393.40789761,23.046875,0.8820594982,1.7269073714,8723.9508364266,871470.204682764,830103.757536119,1.1828613281,
2019-05-14 15:12:49.072316,128,0.8,24,32,9,1,0.03,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.4621039624,747655.247168761,28.90625,0.980595785,1.7278684578,426.7382707446,424159.492707406,408642.578743072,2.0771484375,
2019-05-14 15:54:12.146415,128,0.8,24,32,9,1,0.04,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6647272911,441700.798020339,24.21875,0.9927828062,1.7665911364,1196.5813178618,238251.785415831,220183.374748916,1.6013183594,
2019-05-14 15:58:58.089309,128,0.8,24,32,9,1,0.05,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6396188354,316904.792179817,26.953125,0.8451374838,1.7164827921,571.9842506778,167326.883218454,165167.314304012,1.2951660156,
2019-05-14 16:01:49.251725,128,0.8,24,32,9,1,0.06,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.8118765137,200887.467214433,34.375,1.1516180477,1.685230338,464.0523557067,122371.082860452,121151.174852897,2.2021484375,
2019-05-14 16:06:13.433918,128,0.8,24,32,9,1,0.07,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.3726810155,170038.853159573,30.078125,1.0496713336,1.764741421,20.0191555988,90983.1856892562,88006.3503844051,2.2287597656,
2019-05-14 19:05:14.957768,128,0.8,24,32,9,1,0.08,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,3.1139933699,119060.258719458,33.984375,0.9761986936,1.6858392796,121.6246234265,70795.5504978458,73335.8548476018,2.4626464844,
2019-05-14 19:08:37.370787,128,0.9,24,32,9,1,0.08,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.4917042059,124565.591578973,33.59375,0.9218640937,1.7358824576,167.9779466505,68979.8928470047,64226.2045033437,3.0927734375,
2019-05-14 19:13:26.052431,128,0.9,24,32,9,1,0.09,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6049384151,102393.650530357,26.5625,1.0392060107,1.7573044167,606.2637979516,56922.6003742818,62635.0600323327,1.7082519531,
2019-05-14 19:45:30.360036,128,0.1,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.3993746381,-0.0377657244,92.1875,0.0318069688,0.3628148767,0,0,0,0,
2019-05-14 19:48:44.398646,128,0.2,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.086051732,-0.0072440815,97.265625,0.0107207526,0.1674948038,0,0,0,0,
2019-05-14 19:50:25.898804,128,0.2,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.3599388376,-0.0332806024,95.3125,0.0234580635,0.3441458866,0,0,0,0,
2019-05-14 19:59:51.205795,128,0.3,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.0929021509,-0.0085977108,97.65625,0.0114014511,0.1081392707,0,0,0,0,
2019-05-14 20:01:38.697253,128,0.4,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.0322283242,-0.0027487794,98.046875,0.0109582467,0.0696745834,0,0,0,0,
2019-05-14 20:07:21.855986,128,0.5,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.0988069722,-0.0087724132,99.609375,0.0163532403,0.0575275857,0,0,0,0,
2019-05-14 20:09:29.387799,128,0.6,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.0311723317,-0.0024062463,98.828125,0.0061894378,0.0624942209,0,0,0,0,
2019-05-14 20:17:13.337386,128,0.7,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.0302355042,-0.0023955166,99.21875,0.0049476519,0.0239363642,0,0,0,0,
2019-05-14 20:20:56.489194,128,0.8,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.0649927527,-0.0058326637,98.828125,0.002275527,0.056721329,0,0,0,0,
2019-05-14 20:23:46.795011,128,0.9,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.0599191499,-0.0055496599,99.609375,0.0025346015,0.0251641955,0,0,0,0,
2019-05-15 11:43:32.195993,128,0.7,24,32,9,1,0.01,0.00001,7,0,0.1,1,1,1,1,1,1,2,4,3,3,  gap_privatizer,0.0403527123,-0.0109497335,98.046875,0.0070277679,0.0552080067,0.006483136,0.1964993975,0.01234155,0.3186035156,
2019-05-15 11:49:38.810596,128,0.7,24,32,9,2,0.01,0.00001,7,0,0.1,1,1,1,1,1,1,2,4,3,3,  gap_privatizer,0.1480903144,0.2802939668,99.21875,0.0028619775,0.026447867,0.0116014642,0.1569341199,0.0089420555,0.75,
2019-05-15 12:41:08.518820,128,0.7,24,32,9,2,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,3,  gap_privatizer,0.1876939399,-0.1816641308,96.875,0.0048576013,0.1944897645,0.4949200893,7.2173131241,5.698420591,5.5493164063,
